"ort","cc","state_name","place_type","attractiveness_score","research_score","stay","stay_confidence","entry_fee","fact","when","avoid","stay_de","fact_de","when_de","avoid_de","entry_fee_de","stay_fr","fact_fr","when_fr","avoid_fr","entry_fee_fr"
"Kontiolahti","FI","North Karelia","small_town","70","3","Best option: Kontiolahti Camping – €20/night, basic facilities, lakeside location
Alternative: Wild camping in permitted forest areas
Wild camping: legal with right to roam (allemansrätten), stay 1-2 nights max","2","","World biathlon capital with a shooting range where you can try the Olympic sport of cross-country skiing and rifle shooting, plus Finland's largest adventure park built entirely in old-growth forest canopy 30 meters above ground.","Jun-Sept, Dec-Mar","April-May and October-November during 'mud season' when snow melts make all forest trails impassable and biathlon facilities close.","","","","","","","","","",""
"Nurmes","FI","North Karelia","small_town","70","3","Best option: Nurmes Camping Hyvärilä – €18/night, lakefront, basic facilities, 2km to center
Alternative: Municipal harbor area for day parking
Wild camping: legal with right to roam, abundant forest areas nearby","2","","Finland's 'Karelia' town where you can still hear authentic Karelian language spoken daily, plus Europe's northernmost wine production using birch sap and arctic berries in a climate where grapes can't grow.","Jun-Aug","November-March when polar night lasts 19 hours daily and temperatures drop to -30°C, making van life extremely challenging.","","","","","","","","","",""
"Sagunto","ES","Valencian Community","medium_town","70","3","Best option: Área de Autocaravanas Sagunto – €10/night, services included, 1km to castle
Alternative: Playa de Sagunto beachfront parking – free but basic
Wild camping: tolerated on beaches, occasional police checks","2","","Contains Europe's best-preserved Roman theater still hosting performances after 2,000 years, built into a hillside castle where Hannibal's 8-month siege began the Second Punic War - you can walk the exact siege lines.","Mar-Jun, Sept-Nov","July-August when temperatures exceed 38°C and the ancient stone theater becomes unbearably hot even for evening performances.","","","","","","","","","",""
"Caruthersville","US","Missouri","small_town","70","2","Best option: Check for RV parks or Walmart parking
Alternative: Truck stops or rest areas on nearby highways
Wild camping: Illegal in city limits, enforcement likely","3","","Mississippi River town where you can watch towboats push barges longer than the Titanic through the historic downtown, plus America's last operating hand-cranked ferry that's been running continuously since 1904.","Mar-Nov","December-February when the Mississippi can freeze, stopping all river traffic and making the hand-cranked ferry inoperable.","","","","","","","","","",""
"Arcos de Valdevez","PT","Viana do Castelo","medium_town","70","3","Best option: Parque de Campismo Arcos de Valdevez – €12/night, river location, facilities
Alternative: Municipal parking near sports complex
Wild camping: generally tolerated away from town center","3","","Gateway to Peneda-Gerês National Park where wild Garrano horses roam free and you can hike to espigueiros (granite granaries) over 500 years old that still store corn using medieval preservation techniques.","Apr-Oct","November-March when mountain access roads close due to snow and the wild horses retreat to lower valleys away from hiking trails.","","","","","","","","","",""
"Peshtera","BG","Pazardzhik","small_town","70","2","Best option: Check Park4Night - Bulgaria has limited motorhome infrastructure
Alternative: Secure parking or camping options
Wild camping: Generally tolerated in rural areas, minimal enforcement","3","","Built around Bulgaria's deepest cave system extending over 2km underground, where you can explore chambers with 20-million-year-old stalactites and an underground river that surfaces only during spring floods.","May-Sept","October-April when the underground river floods make cave exploration impossible and surface roads become impassable mud.","","","","","","","","","",""
"Comalcalco","MX","Tabasco","medium_town","70","3","Best option: Hotel/RV parking arrangements – inquire locally, limited formal options
Alternative: Secure parking near archaeological site
Wild camping: not recommended, security concerns","3","","Only Maya site built entirely from fired bricks instead of stone, with structures so well-preserved you can see fingerprints of Maya workers from 1,200 years ago pressed into the clay before firing.","Nov-Apr","May-October when flooding makes the archaeological site inaccessible and humidity reaches 100%, causing dangerous mold growth in vans.","","","","","","","","","",""
"Waidring","AT","Tirol","village","70","3","Best option: Wohnmobilstellplatz Waidring – €15/night, mountain views, hiking access
Alternative: Camping Waidring – full campsite facilities
Wild camping: illegal, enforcement likely","2","","Home to the 'Steinplatte' plateau where you can walk through a prehistoric reef that was once underwater 200 million years ago, now turned into a fossil-hunting paradise with marine creatures embedded in mountain peaks.","May-Oct","November-April when snow makes the fossil plateau completely inaccessible and cable cars shut down for the season.","","","","","","","","","",""
"Corleone","IT","Sicily","small_town","70","3","Best option: Municipal parking area – unverified facilities, check Park4Night
Alternative: Agriturismo with motorhome spaces
Wild camping: illegal, occasional enforcement","3","","The real Corleone produces Sicily's finest wheat and has zero connection to the Mafia - Puzo chose the name randomly from a map, ironically making this peaceful farming town globally infamous for organized crime.","Apr-Jun, Sep-Oct","Jul-Aug extreme heat and disappointed Godfather tourists expecting movie sets","","","","","","","","","",""
"Scottsboro","US","Alabama","small_town","70","2","Best option: Check for RV parks near Lake Guntersville
Alternative: Walmart or truck stops on Highway 35
Wild camping: Illegal in city limits, enforcement moderate","2","","Home to the Unclaimed Baggage Center, the only store in America that sells lost airline luggage contents - you can buy everything from Armani suits to prosthetic limbs that passengers never reclaimed.","Mar-May, Sep-Nov","Jun-Aug oppressive humidity and thunderstorms","","","","","","","","","",""
"Lancaster","US","South Carolina","small_town","70","2","Best option: Check Campendium for local RV parks or Walmart parking
Alternative: Truck stops on nearby highways
Wild camping: Illegal in city limits, enforcement varies","2","","Andrew Jackson was born in the Carolinas but nobody knows if it was North or South Carolina - Lancaster claims him with a replica log cabin, making it ground zero for a 200+ year geographical dispute.","Mar-May, Oct-Nov","Jun-Sep sweltering heat and hurricane season","","","","","","","","","",""
"Hessisch Oldendorf","DE","Niedersachsen","medium_town","70","2","Best option: Check for Wohnmobilstellplatz - German towns this size often have dedicated spots
Alternative: Nearby camping or designated parking areas
Wild camping: Illegal and enforced in Germany","2","","The town's Münchhausen Museum celebrates Baron von Münchhausen's tall tales, including his claim to have ridden a cannonball - he actually lived here and inspired the term 'Münchhausen syndrome' for pathological lying.","May-Sep","Nov-Mar gray skies and most attractions closed","","","","","","","","","",""
"Filomeno Mata","MX","Veracruz","small_town","70","2","Best option: Unverified - check iOverlander
Alternative: PEMEX stations or secure parking arrangements
Wild camping: Exercise extreme caution due to security concerns","3","","Named after a 19th-century journalist who was assassinated for criticizing the government, this tiny mountain town now grows some of Mexico's most prized shade-grown coffee at 4,000+ feet elevation.","Nov-Mar","Jun-Oct rainy season makes mountain roads treacherous","","","","","","","","","",""
